03/07/2023 16:28:45
EXPERIMENT #5
WORKER ACTION   FETCHER ACTION  TIME ELAPSED

RIGHT           NOOP            6.457000
RIGHT           NOOP            0.266800
RIGHT           NOOP            0.285000
RIGHT           NOOP            0.634100
RIGHT           NOOP            1.474900
UP              UP              0.472800
UP              UP              0.783400
UP              NOOP            0.358100
UP              NOOP            0.308200
UP              NOOP            0.314500
UP              NOOP            0.295900
UP              NOOP            0.272300
UP              NOOP            0.274500
LEFT            UP              0.343900
WORK            UP              1.848200
WORK            UP              0.231300
WORK            UP              0.225100
WORK            UP              0.220300
WORK            UP              0.232200
WORK            PICKUP          0.242100
WORK            RIGHT           0.220400
WORK            RIGHT           0.236800
WORK            RIGHT           0.233600
WORK            RIGHT           0.229600
WORK            RIGHT           0.230300
